asset_id,event_id,event_label,event_start,event_start_id,event_end,event_end_id,event_description,farm,event_duration_hours,event_id_int,event_id_file,csv_path,file_size_mb,csv_columns,csv_feature_columns,has_label_column,first_time,last_time,file_duration_hours,first_asset_id,first_train_test,first_status_type_id,csv_exists
11,68,anomaly,2023-07-28 13:20:00,52063,2023-08-11 13:10:00,54076,Transformer failure,Wind Farm A,335.8333333333333,68,68,Dataset\raw\Wind Farm A\datasets\68.csv,34.08685302734375,87,81,True,2022-07-28 13:20:00,2023-08-13 13:20:00,9144.0,11,train,0,True
21,22,anomaly,2023-08-12 09:50:00,51888,2023-08-19 10:00:00,52892,Hydraulic group,Wind Farm A,168.16666666666666,22,22,Dataset\raw\Wind Farm A\datasets\22.csv,33.237019538879395,87,81,True,2022-08-12 09:50:00,2023-08-20 09:50:00,8952.0,21,train,0,True
21,72,anomaly,2023-10-10 08:40:00,52497,2023-10-17 08:40:00,53505,Gearbox failure,Wind Farm A,168.0,72,72,Dataset\raw\Wind Farm A\datasets\72.csv,33.97054100036621,87,81,True,2022-10-07 08:40:00,2023-10-21 08:40:00,9096.0,21,train,0,True
0,73,anomaly,2023-06-10 11:40:00,52745,2023-06-17 11:40:00,53753,Hydraulic group,Wind Farm A,168.0,73,73,Dataset\raw\Wind Farm A\datasets\73.csv,34.041595458984375,87,81,True,2022-06-07 11:40:00,2023-06-19 11:40:00,9048.0,0,train,0,True
0,0,anomaly,2023-08-06 06:10:00,52436,2023-08-20 06:10:00,54447,Generator bearing failure,Wind Farm A,336.0,0,0,Dataset\raw\Wind Farm A\datasets\0.csv,34.573731422424316,87,81,True,2022-08-04 06:10:00,2023-08-24 06:10:00,9240.0,0,train,0,True
0,26,anomaly,2023-10-12 10:20:00,52261,2023-10-19 10:20:00,53269,Hydraulic group,Wind Farm A,168.0,26,26,Dataset\raw\Wind Farm A\datasets\26.csv,33.80558204650879,87,81,True,2022-10-12 10:20:00,2023-10-22 10:20:00,9000.0,0,train,0,True
10,40,anomaly,2022-12-26 00:00:00,51363,2023-01-26 13:00:00,55870,Generator bearing failure,Wind Farm A,757.0,40,40,Dataset\raw\Wind Farm A\datasets\40.csv,34.959524154663086,87,81,True,2022-01-01 00:00:00,2023-01-28 13:00:00,9421.0,10,train,0,True
10,42,anomaly,2023-09-09 15:50:00,52303,2023-09-16 15:50:00,53309,Hydraulic group,Wind Farm A,168.0,42,42,Dataset\raw\Wind Farm A\datasets\42.csv,33.6890172958374,87,81,True,2022-09-09 15:50:00,2023-09-20 15:50:00,9024.0,10,train,0,True
10,10,anomaly,2023-10-11 08:40:00,52611,2023-10-18 08:40:00,53591,Gearbox failure,Wind Farm A,168.0,10,10,Dataset\raw\Wind Farm A\datasets\10.csv,33.5863561630249,87,81,True,2022-10-09 08:40:00,2023-10-18 08:40:00,8976.0,10,train,4,True
13,45,anomaly,2023-04-19 18:10:00,52731,2023-04-26 18:10:00,53738,Hydraulic group,Wind Farm A,168.0,45,45,Dataset\raw\Wind Farm A\datasets\45.csv,34.205145835876465,87,81,True,2022-04-16 18:10:00,2023-04-26 18:10:00,9000.0,13,train,0,True
13,84,anomaly,2023-09-05 15:30:00,52623,2023-09-12 15:30:00,53627,Hydraulic group,Wind Farm A,168.0,84,84,Dataset\raw\Wind Farm A\datasets\84.csv,34.199228286743164,87,81,True,2022-09-03 15:30:00,2023-09-13 15:30:00,9000.0,13,train,0,True
11,25,normal,2023-05-23 06:50:00,52289,2023-06-05 02:30:00,54135,,Wind Farm A,307.6666666666667,25,25,Dataset\raw\Wind Farm A\datasets\25.csv,34.31852722167969,87,81,True,2022-05-23 06:50:00,2023-06-09 02:30:00,9163.666666666666,11,train,0,True
11,69,normal,2023-09-04 00:50:00,52364,2023-09-18 00:50:00,54380,,Wind Farm A,336.0,69,69,Dataset\raw\Wind Farm A\datasets\69.csv,34.37134647369385,87,81,True,2022-09-03 00:50:00,2023-09-21 00:50:00,9192.0,11,train,0,True
